,MappedState,MappedDistrict,Month,Year,MaxTemp(C),MinTemp(C),Rainfall(mm)
277,Andhra Pradesh,CHITTOOR,Aug,2017,34,25,44.34
278,Andhra Pradesh,CHITTOOR,Sep,2017,32,24,73.47
279,Andhra Pradesh,CHITTOOR,Oct,2017,30,23,103.74
280,Andhra Pradesh,CHITTOOR,Nov,2017,28,21,35.49
281,Andhra Pradesh,CHITTOOR,Dec,2017,28,18,7.39
282,Andhra Pradesh,CHITTOOR,Jan,2018,29,17,0.18
283,Andhra Pradesh,CHITTOOR,Feb,2018,31,18,6.64
284,Andhra Pradesh,CHITTOOR,Mar,2018,35,22,14.57
285,Andhra Pradesh,CHITTOOR,Apr,2018,38,25,4.61
286,Andhra Pradesh,CHITTOOR,May,2018,37,28,33.89
287,Andhra Pradesh,CHITTOOR,Jun,2018,35,27,20.26
288,Andhra Pradesh,CHITTOOR,Jul,2018,34,26,23.59
289,Andhra Pradesh,CHITTOOR,Aug,2018,33,25,27.17
290,Andhra Pradesh,CHITTOOR,Sep,2018,33,24,55.86
291,Andhra Pradesh,CHITTOOR,Oct,2018,31,23,201.6
292,Andhra Pradesh,CHITTOOR,Nov,2018,29,21,144.7
293,Andhra Pradesh,CHITTOOR,Dec,2018,29,20,29.7
294,Andhra Pradesh,CHITTOOR,Jan,2019,29,18,8.7
295,Andhra Pradesh,CHITTOOR,Feb,2019,32,21,18.8
296,Andhra Pradesh,CHITTOOR,Mar,2019,36,24,8.2
297,Andhra Pradesh,CHITTOOR,Apr,2019,38,27,71.1
298,Andhra Pradesh,CHITTOOR,May,2019,40,30,50.1
299,Andhra Pradesh,CHITTOOR,Jun,2019,37,28,96.8
300,Andhra Pradesh,CHITTOOR,Jul,2019,34,25,318.9
301,Andhra Pradesh,CHITTOOR,Aug,2019,32,25,198.1
302,Andhra Pradesh,CHITTOOR,Sep,2019,30,23,399
303,Andhra Pradesh,CHITTOOR,Oct,2019,29,23,348.4
304,Andhra Pradesh,CHITTOOR,Nov,2019,28,21,156.7
305,Andhra Pradesh,CHITTOOR,Dec,2019,26,19,133.3
306,Andhra Pradesh,CHITTOOR,Jan,2020,29,19,28.3
307,Andhra Pradesh,CHITTOOR,Feb,2020,31,19,4.2
308,Andhra Pradesh,CHITTOOR,Mar,2020,34,22,24.8
309,Andhra Pradesh,CHITTOOR,Apr,2020,37,25,35.7
310,Andhra Pradesh,CHITTOOR,May,2020,39,28,18.1
311,Andhra Pradesh,CHITTOOR,Jun,2020,35,27,114.9
312,Andhra Pradesh,CHITTOOR,Jul,2020,32,25,302.3
313,Andhra Pradesh,CHITTOOR,Aug,2020,31,24,235
314,Andhra Pradesh,CHITTOOR,Sep,2020,30,24,609.6
315,Andhra Pradesh,GUNTUR,Jan,2017,32,17,0.29
316,Andhra Pradesh,GUNTUR,Feb,2017,35,18,0.01
317,Andhra Pradesh,GUNTUR,Mar,2017,37,23,13.8
318,Andhra Pradesh,GUNTUR,Apr,2017,41,27,0.43
319,Andhra Pradesh,GUNTUR,May,2017,42,30,6.97
320,Andhra Pradesh,GUNTUR,Jun,2017,36,28,97.32
321,Andhra Pradesh,GUNTUR,Jul,2017,36,29,51.47
322,Andhra Pradesh,GUNTUR,Aug,2017,34,28,112.18
323,Andhra Pradesh,GUNTUR,Sep,2017,33,27,70.61
324,Andhra Pradesh,GUNTUR,Oct,2017,32,24,49.22
325,Andhra Pradesh,GUNTUR,Nov,2017,31,22,8.94
326,Andhra Pradesh,GUNTUR,Dec,2017,31,19,0.13
327,Andhra Pradesh,GUNTUR,Jan,2018,31,18,0
328,Andhra Pradesh,GUNTUR,Feb,2018,35,19,0
329,Andhra Pradesh,GUNTUR,Mar,2018,38,24,4.59
330,Andhra Pradesh,GUNTUR,Apr,2018,39,27,1
331,Andhra Pradesh,GUNTUR,May,2018,41,29,3.15
332,Andhra Pradesh,GUNTUR,Jun,2018,38,30,59.88
